r0,r1,r2,E
3.25,0.97,2.6839151141207775,-150.65416
3.5,0.97,2.7871427819146404,-150.65416
1.9,0.97,1.7804774911997479,-150.6541533
3.05,0.97,2.5850455524050884,-150.65414
3.1,0.97,2.616927948452439,-150.65414
3.2,0.97,2.6660993132340236,-150.65414
3.35,0.97,2.7364960510841425,-150.65414
3.4,0.97,2.7566495481201643,-150.65414
3.45,0.97,2.7778165062157507,-150.65414
3.15,0.97,2.6490796685442364,-150.65413
3.3,0.97,2.7172959191669754,-150.65413
3.5,0.97,2.8000548178580997,-150.65413
3.05,0.97,2.601052606577851,-150.65412
3.25,0.97,2.6989871298150714,-150.65412
3.1,0.97,2.632790240555366,-150.65411
3.2,0.97,2.6815060169736644,-150.65411
2.8,0.97,2.4129692832272793,-150.6541008
3.3,0.97,2.7321688269358253,-150.6541
3.35,0.97,2.750984011052886,-150.6541
3.4,0.97,2.770720300593322,-150.6541
3.45,0.97,2.791438478557066,-150.6541
3.05,0.97,2.6171641572723057,-150.65409
3.15,0.97,2.664787557064334,-150.65409
3.25,0.97,2.714212191818254,-150.65409
3.5,0.97,2.813197277424242,-150.65409
2.8,0.97,2.5973134166990257,-150.6540886
3.1,0.97,2.648765654547995,-150.65408
3.2,0.97,2.697050057444728,-150.65408
2.9,0.97,2.5073413786330447,-150.654078
3.05,0.97,2.6333734239874884,-150.65407
3.4,0.97,2.7849837839682756,-150.65407
2.7,0.97,2.3190689370071103,-150.6540688
3.15,0.97,2.680617166534198,-150.65406
3.3,0.97,2.7472032793534935,-150.65406
3.35,0.97,2.7656491553317055,-150.65406
3.45,0.97,2.8052685581027355,-150.65406
3.5,0.97,2.826562971388067,-150.65406
3.1,0.97,2.6648473336731335,-150.65405
3.25,0.97,2.729583140504493,-150.65405
2.8,0.97,2.2530612304463693,-150.6540403
3.05,0.97,2.6496737213883677,-150.65404
3.2,0.97,2.712724379876864,-150.65404
3.1,0.97,2.6810285113230203,-150.65403
3.15,0.97,2.696561574160823,-150.65403
3.3,0.97,2.76239209678908,-150.65403
3.35,0.97,2.7804842488231833,-150.65403
3.4,0.97,2.7994327409840607,-150.65403
3.45,0.97,2.81929950077371,-150.65403
2.7,0.97,3.038150344828633,-150.654026
2.8,0.97,2.78288079822234,-150.6540236
3.05,0.97,2.6660584602615383,-150.65402
3.25,0.97,2.7450928826600336,-150.65402
3.5,0.97,2.8401447058710545,-150.65402
3.15,0.97,2.7126139418388964,-150.65401
3.2,0.97,2.7285220058251474,-150.65401
3.1,0.97,2.697302512403758,-150.654
3.05,0.97,2.68252114824044,-150.65399
3.25,0.97,2.760734394698578,-150.65399
3.3,0.97,2.777728158547336,-150.65399
3.35,0.97,2.795482103193254,-150.65399
3.4,0.97,2.814059947558412,-150.65399
3.45,0.97,2.833524080775282,-150.65399
3.15,0.97,2.728767517926411,-150.65398
3.2,0.97,2.744436035648914,-150.65398
3.5,0.97,2.853935289211809,-150.65398
3.05,0.97,2.6990553903171377,-150.65397
3.1,0.97,2.7136627544522747,-150.65397
3.25,0.97,2.776500725558402,-150.65396
3.3,0.97,2.793204406501418,-150.65396
3.35,0.97,2.8106355812503856,-150.65396
3.4,0.97,2.828858217908377,-150.65396
3.45,0.97,2.847935096437143,-150.65396
2.9,0.97,2.691349718160403,-150.6539563
3.05,0.97,2.715654889157019,-150.65395
3.1,0.97,2.730102748522651,-150.65395
3.15,0.97,2.7450156387574856,-150.65395
3.2,0.97,2.760459650698178,-150.65395
3.5,0.97,2.8679275384859064,-150.65395
3.05,0.97,2.7323134452320588,-150.65393
3.3,0.97,2.80881384840027,-150.65393
3.35,0.97,2.82593760098258,-150.65393
3.1,0.97,2.7466160998581506,-150.65392
3.15,0.97,2.7613517299089017,-150.65392
3.2,0.97,2.776586115223802,-150.65392
3.25,0.97,2.7923849992964715,-150.65392
3.4,0.97,2.843820409318593,-150.65392
3.45,0.97,2.862525375698516,-150.65392
3.5,0.97,2.882114285676499,-150.65392
2.8,0.97,2.9632583417582747,-150.6539167
3.05,0.97,2.749024956787606,-150.6539
3.1,0.97,2.763196508364638,-150.6539
3.15,0.97,2.777769307236412,-150.65389
3.2,0.97,2.7928087780273665,-150.65389
3.25,0.97,2.8083804173948113,-150.65389
3.3,0.97,2.824549560864632,-150.65389
3.35,0.97,2.841381139264338,-150.65389
3.4,0.97,2.8589394265668893,-150.65389
3.45,0.97,2.8772877812449864,-150.65389
2.8,0.97,2.107774159966647,-150.6538827
3.05,0.97,2.765783419656902,-150.65388
3.5,0.97,2.8964883834987742,-150.65388
3.1,0.97,2.7798377689004896,-150.65387
3.15,0.97,2.794261977696436,-150.65387
3.05,0.97,2.78258292693682,-150.65386
3.2,0.97,2.8091210738663905,-150.65386
3.25,0.97,2.824480260794354,-150.65386
3.3,0.97,2.8404046920858983,-150.65386
3.35,0.97,2.856959235246199,-150.65386
3.4,0.97,2.87420822601766,-150.65386
3.1,0.97,2.796533771397436,-150.65385
3.45,0.97,2.892215215304726,-150.65385
3.5,0.97,2.9110427108827186,-150.65385
3.05,0.97,2.7994176685375995,-150.65384
3.15,0.97,2.8108234399681944,-150.65384
3.2,0.97,2.8255165246302107,-150.65384
2.4,0.97,3.039200445352357,-150.653839
1.1,0.97,1.599401886998245,-150.6538368
3.1,0.97,2.813278500826125,-150.65383
3.25,0.97,2.8406778916713264,-150.65383
3.3,0.97,2.85637246424212,-150.65383
3.35,0.97,2.8726649934398614,-150.65383
3.4,0.97,2.8896198193941136,-150.65383
2.9,0.97,2.877048590484971,-150.6538294
3.05,0.97,2.816281930618624,-150.65382
3.15,0.97,2.8274474848908193,-150.65382
3.45,0.97,2.907300624112776,-150.65382
2.7,0.97,3.192661794852776,-150.6538179
3.2,0.97,2.841988740301411,-150.65381
3.5,0.97,2.92577017811988,-150.65381
3.05,0.97,2.8331700949215963,-150.6538
3.1,0.97,2.830066037019531,-150.6538
3.25,0.97,2.8569667549710203,-150.6538
3.3,0.97,2.8724461756454684,-150.6538
3.35,0.97,2.888491586512105,-150.6538
2.5,0.97,3.1356656900605464,-150.6537997
2.3,0.97,2.942971181346676,-150.6537923
3.15,0.97,2.8441279957293815,-150.65379
3.4,0.97,2.905167277241012,-150.65379
3.45,0.97,2.9225370020528385,-150.65379
3.05,0.97,2.8500766380117666,-150.65378
3.1,0.97,2.846890554366665,-150.65378
3.2,0.97,2.858531419717254,-150.65378
3.25,0.97,2.8733403797134978,-150.65378
3.5,0.97,2.9406637316808855,-150.65378
2.8,0.97,3.133268973912931,-150.6537757
3.15,0.97,2.8608589482831808,-150.65377
3.3,0.97,2.8886192026353688,-150.65377
3.35,0.97,2.9044322578009205,-150.65377
3.05,0.97,2.866996130437224,-150.65376
3.1,0.97,2.8637463213883847,-150.65376
3.2,0.97,2.8751383511450697,-150.65376
3.4,0.97,2.9208437320899394,-150.65376
3.45,0.97,2.937917395486714,-150.65376
2.5,0.97,2.132932413410495,-150.6537583
2.7,0.97,2.1583773048270856,-150.6537503
3.25,0.97,2.889792380085462,-150.65375
3.5,0.97,2.955716358711447,-150.65375
3.05,0.97,2.8839232358155793,-150.65374
3.1,0.97,2.880627700206451,-150.65374
3.15,0.97,2.8776344108490544,-150.65374
3.3,0.97,2.904885001231378,-150.65374
3.35,0.97,2.920480323567275,-150.65374
3.2,0.97,2.8918034126850487,-150.65373
3.4,0.97,2.936642381339418,-150.65373
3.45,0.97,2.953434906282068,-150.65373
3.05,0.97,2.900852709856782,-150.65372
3.1,0.97,2.897529145916321,-150.65372
3.15,0.97,2.8944485440518344,-150.65372
3.25,0.97,2.9063164563321116,-150.65372
3.5,0.97,2.970921091215382,-150.65372
3.2,0.97,2.908520572513354,-150.65371
3.3,0.97,2.9212371085596307,-150.65371
3.35,0.97,2.9366291749959403,-150.65371
3.05,0.97,2.9177793993301764,-150.6537
3.1,0.97,2.9144452058735686,-150.6537
3.15,0.97,2.91129560055348,-150.6537
3.25,0.97,2.922906395462393,-150.6537
3.4,0.97,2.9525564898623866,-150.6537
2.9,0.97,3.0579241324794175,-150.6536975
3.05,0.97,2.9346982409833577,-150.65369
3.3,0.97,2.937669144066431,-150.65369
3.45,0.97,2.969082695049658,-150.65369
3.5,0.97,2.9862710099338945,-150.65369
3.2,0.97,2.925283888977912,-150.65368
3.35,0.97,2.952872279958685,-150.65368
3.05,0.97,2.9516042604198116,-150.65367
3.1,0.97,2.9313705189031736,-150.65367
3.15,0.97,2.928169924651806,-150.65367
3.25,0.97,2.939556071780594,-150.65367
3.4,0.97,2.9685793923536816,-150.65367
3.2,0.97,2.9420875105586908,-150.65366
3.3,0.97,2.954174810532198,-150.65366
3.45,0.97,2.98485398410148,-150.65366
3.5,0.97,3.001759247930916,-150.65366
3.05,0.97,2.9684925709418177,-150.65365
